historic,memorial,artist_name,artist_name:en,artist_name:ru,artwork_type,height,min_height,name,name:de,name:en,name:fa,name:fr,name:hy,name:ml,name:ru,name:tr,start_date,tourism,wikidata,wikipedia,material,wikipedia:fr,wikipedia:hy,wikipedia:ru,amenity,man_made,wikimedia_commons,author,architect,year,statue,subject:wikidata,subject:wikipedia,check_date,fountain,access,addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:street,email,fax,fee,name:ca,opening_hours,phone,website,memorial:subject:ru,name:ja,name:simple,contact:facebook,contact:linkedin,contact:twitter,contact:youtube,facebook,name:uk,wheelchair,contact:instagram,inscription,inscription:hy,inscription:ru,contact:email,contact:website,alt_name:en,charge,name:pl,artist_name:hy,memorial:conflict,operator,operator:en,operator:hy,operator:ref,price,wikipedia:en,seasonal,bottle,stele,war_memorial,drinking_water,zoo,material:wikidata,capacity,fixme,museum,was:amenity,contact:phone,layer,disused:amenity,payment:american_express,payment:mastercard,payment:visa,note,internet_access,description,addr:city:en,addr:street:en,alt_name,artist:wikipedia,monument,model,model:wikidata,vehicle:type,name:etymology:wikidata,location,source,covered,lit,subject:en,level,colour,type,religion,year_of_construction,short_name,short_name:en,short_name:hy,openplaques:id,historic:civilization,ruins,surface,backrest,seats,memorial:subject,subject:wikipedia:ru,outdoor_seating,description:ru,ele,archaeological_site,image,support,inscription:en,building,building:levels,int_name,area,loc_name,highway,name:etymology,building:colour,building:material,roof:shape,denomination,instagram,roof:levels,building:levels:underground,attraction,alt_name:hy,alt_name:ru,bridge:structure,old_name,old_name:en,old_name:hy,old_name:ru,building:facade:colour,building:facade:material,fence,fence_type,contact:tiktok,toilets:wheelchair,tomb,historic:period,area:highway,architect:wikidata,artist:wikidata,name:ku,artist_name:fr,name:es,payment:cash,payment:credit_cards,wikipedia:de,artwork_subject,addr:floor,description:en,sculpture_type,nat_name,panoramax,name:prg,barrier,railing,handrail,incline,ramp,step_count,smoothness,tunnel,orig_geom_type,orig_geom_wkt,feature_id,dist_to_g_m,lon,lat,geometry_wkt
memorial,statue,,,,,12.5,,Գայ (Հայկ Բժշկյանց),,Gai (Hayk Bzhishkyan),,,Գայ (Հայկ Բժշկյանց),,Гай (Гайк Бжишкян),,1977-02-18,,Q16375695,,,,,,,,,,,,equestrian,Q1491221,hy:Գայ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (463026.441418 4450068.441634),11,5166.065843942788,44.56557930000001,40.200201099999994,POINT (44.565579 40.200201)
memorial,statue,,,,,,,Հայկի արձան,,Hayk statue,,,Հայկի արձան,,Статуя Айка Наапета,,1970,,Q16387927,hy:Հայկ Նահապետի արձան (Երևան),,,,,,,,,,,,Q785620,hy:Հայկ նահապետ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (462976.975486 4450462.93522),12,5326.197903572775,44.5649754,40.20375299999999,POINT (44.564975 40.203753)
,pulpulak,,,,,,,,,,,,,,,,,,,,,,,,drinking_water,,,,,,,,,2025-06-05,bubbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458870.952909 4450560.264777),13,3010.613504037037,44.5167245,40.20443850000001,POINT (44.516724 40.204439)
memorial,statue,,,,statue,,,Վարդան Մամիկոնյանի արձան,,Vardan Mamikonyan statue,بنای یادبود واردان مامیکونیان,,Վարդան Մամիկոնյանի արձան,,памятник Вардану Мамиконяну,,,artwork,Q16400495,hy:Վարդան Մամիկոնյանի հուշարձան (Երևան),,,,,,,,,,,equestrian,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (459184.936951 4447200.568865),14,776.1468425723336,44.5206269,40.174185699999995,POINT (44.520627 40.174186)
monument,,,,,,,,Խաչատուր Աբովյանի արձան,,Khachatur Abovyan monument,,,Խաչատուր Աբովյանի արձան,,Памятник Хачатуру Абовяну,,,,Q16383201,"hy:Խաչատուր Աբովյանի հուշարձան (Երևան, Աբովյան պուրակ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (459835.354143 4449134.669741),15,2053.1007666082232,44.5281451,40.1916418,POINT (44.528145 40.191642)
monument,,,,,,,,Եղիշե Չարենցի արձան,,Yeghishe Charents Monument,,,Եղիշե Չարենցի արձան,,,,,,Q16380022,hy:Եղիշե Չարենցի հուշարձան (Երևան),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (459527.358371 4447821.057779),16,1053.6566461626658,44.5246095,40.179792400000004,POINT (44.52461 40.179792)
,,,,,,,,Գաֆեսջյանի արվեստի կենտրոն,,Cafesjian Center for the Arts,,,Գաֆեսջյանի արվեստի կենտրոն,,Центр искусств Гафесчяна,,,museum,,,,,,,,,,,,,,,,,,,Երևան,AM,Cascade Complex,10,0009,Թամանյանի փողոց,info@cmf.am,"+374-10- 56-85-50,",no,Centre Cafesjian de les Arts,Tu-Th 10:00-17:00; Fr-Su 10:00-20:00,"+374 10 56 72 62, +374-10-54-19-32, +374-1054-19-34",https://www.cmf.am/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458764.169211 4449116.296779),17,1565.9836106377572,44.5155624,40.1914243,POINT (44.515562 40.191424)
memorial,bust,,,,,,,Անդրեյ Սախարովի հուշարձան,,Andrey Sakharov monument,,,Անդրեյ Սախարովի հուշարձան,,Андрею Сахарову,,,,Q15077321,hy:Անդրեյ Սախարովի հուշարձան (Երևան),metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Андрей Дмитриевич Сахаров,サハロフ記念碑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458856.137885 4447838.677646),18,442.008104404639,44.5167245,40.1799185,POINT (44.516724 40.179918)
memorial,statue,,,,,,,Ալեքսանդր Մյասնիկյանի արձան,,Aleksandr Myasnikyan Monument,بنای یادبود الکساندر میاسنیکیان,,Ալեքսանդր Մյասնիկյանի արձան,,Монумент Александра Мясникяна,,,,Q16366530,hy:Ալեքսանդր Մյասնիկյանի հուշարձան (Երևան),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (457945.104543 4447268.955206),19,635.4222810080029,44.5060611,40.1747406,POINT (44.506061 40.174741)
memorial,statue,,,,,,,Ստեփան Շահումյանի արձան,,Stepan Shahumyan monument,بنای یادبود استپان شاهومیان,,Ստեփան Շահումյանի արձան,,Памятник Степану Шаумяну,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458248.350652 4447434.437229),20,289.9641246740262,44.5096119,40.1762466,POINT (44.509612 40.176247)
,pulpulak,,,,,,,,,,,,,,,,,,,,,,,,drinking_water,,,,,,,,,,bubbler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (459644.770866 4448024.876437),21,1227.7636857376244,44.5259758,40.18163429999999,POINT (44.525976 40.181634)
monument,,,,,,,,Սասունցի Դավիթ,David von Sasun,David of Sasun,داوود ساسونی,,Սասունցի Դավիթ,,Давид Сасунский,,,,Q16364238,en:Sasuntsi Davit (statue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sasuntsi Davit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458227.547743 4445105.602956),22,2481.9449111108765,44.5095186,40.1552646,POINT (44.509519 40.155265)
,,,,,,,,Հայաստանի պատմության թանգարան,Historisches Museum,Museum of History of Armenia,موزه تاریخ ارمنستان,,Հայաստանի պատմության թանգարան,,Музей истории Армении,,,museum,Q1138228,,,,,,,,,,,,,,,2024-10-08,,,Երևան,AM,,4,0010,Հանրապետության հրապարակ,admin@historymuseum.am;historymuseum.am@gmail.com,,yes,Museu d’Història d’Armènia,Tu-Sa 11:00-18:00; Su 11:00-17:00,+374 11 547363;+374 10 520691,https://historymuseum.am/,,アルメニア歴史博物館,,HistoryMuseumofArmenia,https://www.linkedin.com/in/history-museum-of-armenia-79405912b/,HMA_museum,historymuseumofarmenia6092,https://www.facebook.com/HistoryMuseumofArmenia/,Музей історії Вірменії,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458611.489892 4447684.150089),23,155.5618961451223,44.5138609,40.1785143,POINT (44.513861 40.178514)
,,,,,,,,Գրականության և արվեստի թանգարան,Staatliches Museum für Literatur und Kunst,State Museum of Literature and Art After Yeghishe Charents,موزه دولتی ادبیات و هنر یغیشه چارنتس,,Գրականության և արվեստի թանգարան,,Государственный музей литературы и искусства имени Егише Чаренца,,,museum,,,,,,,,,,,,,,,,,,,,,,,,,gatmuseum@mail.ru,,,Museu Estatal de Literatura i Art,Tu-Sa 11:00-17:00; Su 11:00-16:00; Mo off,+374 10 563641,https://gatmuseum.am/,,,,gatmuseum,,,,,,no,gatmuseum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458670.337702 4447726.018377),24,226.93782989211277,44.5145494,40.178894400000004,POINT (44.514549 40.178894)
,,,,,,,,Միջին արևելքի թանգարան,Nahostmuseum,Near East Museum,موزه خاور نزدیک,,,,Музей Ближний Восток,,,museum,Q22997527,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,Tu-Fr 11:00-18:00; Sa-Su 11:00-17:00,,,,,,,,,,,Музей Близького Сходу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458669.308067 4447723.00487),25,224.14298260508852,44.5145375,40.17886719999999,POINT (44.514538 40.178867)
memorial,statue,Sarkis Baghdassarian,,,,,,Ավետիք Իսահակյան,,Avetik Isahakyan,,statue d'Avetik Issahakian,Ավետիք Իսահակյան,,Аветик Исаакян,,,,Q16370033,hy:Ավետիք Իսահակյանի հուշարձան (Երևան),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (459290.232565 4448588.059063),26,1284.90093876181,44.5217758,40.186691,POINT (44.521776 40.186691)
memorial,statue,,,,statue,,,Զորավար Անդրանիկի արձան,,Zoravar Andranik,,,Զորավար Անդրանիկի արձան,,Зоравар Андранику,,,artwork,Q15961904,"hy:Անդրանիկ Օզանյանի հուշարձան (Երևան, Կենտրոն)",,,,,,,,,,,equestrian,Q278864,hy:Անդրանիկ Օզանյան,,,,,,,,,,,,,,,,,Андрани́к Торо́сович Озаня́н,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458682.125347 4447002.260794),27,597.2275703501098,44.5147343,40.1723745,POINT (44.514734 40.172374)
memorial,statue,,,,,,,Սուրեն Սպանդարյան,,Suren Spandaryan,,,Սուրեն Սպանդարյան,,Сурен Спандарян,,,,Q16399918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (455947.078547 4444707.966502),28,3839.1393124856545,44.4827701,40.1515657,POINT (44.48277 40.151566)
,,,,,,,,Հայաստանի երկաթուղու թանգարան,,Museum of Armenian Railways,موزه راه آهن ارمنستان,,Հայաստանի երկաթուղու թանգարան,,Музей Армянской железной дороги,,,museum,Q20517733,en:Armenian Railways Museum,,,,,,,,,,,,,,,,,,,,,,,,,no,,Mo-Fr 10:00-17:00,+37499 400 128,https://www.railway.am/arm/musey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458119.124623 4445140.500448),29,2461.8519161087506,44.5082433,40.15557359999999,POINT (44.508243 40.155574)
memorial,statue,,,,,,,Գրիբոյեդովի արձան,,Griboedov statue,,,Գրիբոյեդովի արձան,,Александр Грибоедов,,1974,,,hy:Ալեքսանդր Գրիբոյեդովի հուշարձան (Երևան),bronze,,,Памятник Александру Грибоедову (Ереван),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ալեքսանդր Գրիբոեդովին երախտագետ հայ ժողովրդից,Ալեքսանդր Գրիբոեդովին երախտագետ հայ ժողովրդից,Александру Грибоедову от благодарного армянского народа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458639.251118 4447079.671755),30,510.8464079840656,44.5142258,40.1730698,POINT (44.514226 40.17307)
,,,,,,,,Երվանդ Քոչար թանգարան,,Ervand Kochar Museum,,,Երվանդ Քոչար թանգարան,,Дом-музей Ерванда Кочара,,,museum,Q13052794,hy:Երվանդ Քոչարի թանգարան (Երևան),,,,,,,,,,,,,,2025-10-20,,,,,,,,,,,1600 AMD,,Tu-Sa 10:00-17:00; Su 11:00-16:00,+374 10 52 93 26,,,,,https://www.facebook.com/ErvandKocharMuseum,,,https://www.youtube.com/channel/UCiYNaueTuFhrA4OQ_Y3vZHQ,,,,https://www.instagram.com/kocharmuseum/,,,,kochar.museum@gmail.com,https://kochar.am/en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458819.539274 4448782.979148),31,1251.3821181601384,44.5162342,40.1884241,POINT (44.516234 40.188424)
,,,,,,,,Արամ Խաչատրյանի տուն թանգարան,,House Museum of Aram Khachaturyan,,,Արամ Խաչատրյանի տուն թանգարան,,Дом-музей Арама Хачатуряна,,,museum,Q5913529,,,,,,,,,,,,,,,,,,Երևան,AM,,3,0009,Զարոբյան փողոց,info@akhachaturianmusem.am,,yes,,Mo-Sa 11:00-16:00,+374 10 58 94 18,https://akhachaturianmuseum.am/,,,,,,,,https://www.facebook.com/museum78/,,,,,,,,,Aram Khachadourian museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Point,POINT (458574.988729 4448988.762548),32,1418.407150568634,44.5133482,40.190266,POINT (44.513348 40.190266)
